paper_id,doi,title,year,journal,authors,abstract_keywords
22,10.1002/1521-4125(200203)25:3<273::aid-ceat273>3.0.co;2-4,Template‐Free Synthesis of Zeolite Ferrierite and Characterization of its Acid Sites,2002,,,
23,10.1002/adfm.200901226,Osteoconductive and Osteoinductive Properties of Zeolite MFI Coatings on Titanium Alloys,2009,,,"['indicating higher osteoinductive properties', 'zeolite crystal microstructure appears', 'resistant zeolite mfi coatings']"
24,10.1002/adfm.200902205,Interplay of Properties and Functions upon Introduction of Mesoporosity in ITQ‐4 Zeolite,2010,,,"['recently introduced hierarchy factor', 'overall catalytic performance without', 'appropriately relate porosity changes']"
25,10.1002/adfm.201102734,The Performance of Small‐Pore Microporous Aluminophosphates in Low‐Temperature Solar Energy Storage: The Structure–Property Relationship,2012,,,"['highly ordered water clusters', 'maximum water sorption capacity', 'stored energy density']"
26,10.1002/adfm.201700864,Sub‐Micrometer Zeolite Films on Gold‐Coated Silicon Wafers with Single‐Crystal‐Like Dielectric Constant and Elastic Modulus,2017,,,"['silicon wafer processing technology', 'optimized secondary growth conditions', 'coated silicon wafer']"
27,10.1002/adma.201404628,Synthesis of Single Crystal Nanoreactor Materials with Multiple Catalytic Functions by Incipient Wetness Impregnation and Ion Exchange,2015,,,"['metal oxide particles within', 'multiple catalytic sites', 'bronsted acid sites']"
28,10.1002/admi.201500848,Zeolite Crystals Embedded Nanotextured Coating with Hydrophobic Surface: An Innovation Toward Next Generation Solar Cover Glass for Efficient Light‐Harvesting,2016,,,"['elevated visual transparency along', 'electrical power generation capability', 'cleanable coatings exhibiting antidazzle']"
29,10.1002/admi.202001288,Nanosponge TS‐1: A Fully Crystalline Hierarchical Epoxidation Catalyst,2021,,,"['titanosilicates activate hydrogen peroxide', 'thereby potentially reducing costs', 'linalool conversion linearly increases']"
30,10.1002/admi.202002029,Hierarchical SAPO‐34 Preparation Based on the Crystal Metastability in Mother Liquor Solution,2021,,,"['effective etching strategy based', 'obtained conveniently via', 'dissolution process controlled']"
31,10.1002/adsc.201000571,Retro‐Diels–Alder Reactions of Masked Cyclopentadienones Catalyzed by Heterogeneous Brønsted Acids,2010,,,"['optimum reaction conditions established', 'diels – alder reactions', 'diels – alder reaction']"
32,10.1002/aenm.201601815,Superior Performance of Microporous Aluminophosphate with LTA Topology in Solar‐Energy Storage and Heat Reallocation,2017,,,"['nuclear magnetic resonance measurements', 'high predicted pore volume', 'exhibits superior water uptake']"
33,10.1002/aic.10217,Transient permeation of butanes through ZSM‐5 and ZSM‐11 zeolite membranes,2004,,,"['porous tubular supports affected', 'driven flow (< 10', 'apparently significantly less constrained']"
34,10.1002/aic.10695,Durability of hydrophilic and antimicrobial zeolite coatings under water immersion,2006,,,"['independent water separation within', 'using hydrophilic fin surfaces', 'coating must also']"
35,10.1002/aic.11409,Hydrophilic zeolite coatings for improved heat transfer: A quantitative analysis,2008,,,"['different initial surface temperatures', 'initial surface temperatures studied', 'maximum heat transfer coefficients']"
36,10.1002/aic.12622,Effects of water vapor on gas permeation and separation properties of MFI zeolite membranes at high temperatures,2012,,,"['separation involving water vapor', 'water vapor lowers h2', 'hydrophobic silicalite membrane']"
37,10.1002/aic.12805,Technico‐economical assessment of MFI‐type zeolite membranes for CO2 capture from postcombustion flue gases,2012,,,"['standard flue gases emitted', 'molar composition 1 sio2', 'e ., co2 recovery']"
38,10.1002/aic.13822,A new catalytic process for high‐efficiency synthesis of p‐xylene by methylation of toluene with CH3Br,2013,,,"['economic standpoint since ch4', 'good industrial potential', 'optimal reaction conditions']"
39,10.1002/aic.13851,High‐performance zeolite T membrane for dehydration of organics by a new varying temperature hot‐dip coating method,2013,,,"['free asymmetric seed layer', 'secondary hydrothermal growth', 'corresponding separation factor']"
40,10.1002/aic.14671,Ion‐exchange adsorption of calcium ions from water and geothermal water with modified zeolite A,2015,,,"['high adsorption capacity indicates', 'calcium ion concentration less', 'calcium ion adsorption capacity']"
41,10.1002/aic.15011,Mixed matrix membranes based on 6FDA polyimide with silica and zeolite microsphere dispersed phases,2015,,,"['50 vol %) selectivities', 'besides single gas h2', 'show enhancements vs']"
42,10.1002/aic.15434,Krypton‐xenon separation properties of SAPO‐34 zeolite materials and membranes,2017,,,"['used nuclear fuel recycling', 'also highlight competing effects', 'membrane transport measurements reveal']"
43,10.1002/aic.15521,Hydrocarbon steam reforming using Silicalite‐1 zeolite encapsulated Ni‐based catalyst,2017,,,"['uncoated sr catalyst deactivated', 'composite catalyst demonstrated stability', 'size selective steam reforming']"
44,10.1002/aic.16200,One‐pot synthesis of binderless zeolite A spheres via in situ hydrothermal conversion of silica gel precursors,2018,,,"['al species could contact', 'released si species', 'pore structure analyses']"
45,10.1002/aic.16503,A quantitative study of the structure–activity relationship in hierarchical zeolites using liquid‐phase reactions,2019,,,"['sized characteristic diffusion lengths', 'observed performance remains elusive', 'reactions involving bulky reactants']"
46,10.1002/aic.16917,Selective steam reforming of n‐dodecane over stable subnanometric NiPt clusters encapsulated in Silicalite‐1 zeolite,2020,,,"['suppressed methanation reaction based', 'highly exposed active sites', 'xylene could hardly diffuse']"
47,10.1002/aic.17130,Core‐shell structured HZSM‐5@mesoSiO2 catalysts with tunable shell thickness for efficient n‐butane catalytic cracking,2021,,,"['chemical reaction kinetic analysis', 'positive linear correlation', 'diffusional time constant']"
48,10.1002/aic.17177,Integrating pore interconnectivity and adaptability in a single crystal hierarchical zeolite for liquid alkylation,2021,,,"['zeolite exhibits superior activity', 'stability toward alkylation', 'small micropore size']"
49,10.1002/ajoc.201700120,"Sustainable Catalytic Process with a High Eco‐Scale Score for the Synthesis of Five‐, Six‐, and Seven‐Membered Heterocyclic Compounds Using Nanocrystalline Zeolites",2017,,,"['first reported systematic assessment', 'dependent 1h nmr experiments', 'five -, six -,']"
50,10.1002/anie.198900811,A Silicogermanate with a Si : Ge Ratio ≥ 2—an MFI Zeolite of Novel Composition,1989,,,
51,10.1002/anie.199406391,A Novel Open‐Framework Cobalt Phosphate Containing a Tetrahedrally Coordinated Cobalt(II) Center: CoPO4 · 0.5 C2H10N2,1994,,,
52,10.1002/anie.199500631,A New Zincosilicate Zeolite with Nine‐Ring Channels,1995,,,
53,10.1002/anie.199628691,A Layer Silicate: Synthesis and Structure of the Zeolite Precursor RUB‐15—[N(CH3)4]8[Si24O52(OH)4]·20 H2O,1996,,,
54,10.1002/anie.199726591,"Synthesis and Structure of ITQ‐3, the First Pure Silica Polymorph with a Two‐Dimensional System of Straight Eight‐Ring Channels",1997,,,
55,10.1002/anie.199726751,Synthesis of a Small‐Pore Microporous Material Using a Computationally Designed Template,1997,,,
56,10.1002/anie.200219900,In Situ Incorporation of 2‐(2‐Hydroxyphenyl)benzothiazole within FAU Colloidal Crystals,2003,,,"['state intramolecular proton', 'raman data reveal', 'absorption spectrum depicted']"
57,10.1002/anie.200250076,Open‐Framework Materials Synthesized in the TMA+/TEA+ Mixed‐Template System: The New Low Si/Al Ratio Zeolites UZM‐4 and UZM‐5,2003,,,"['new framework topology related', 'large surface cups capable', 'tea +) ions']"
58,10.1002/anie.200250351,Mechanistic Insights into the Conversion of Cyclohexene to Adipic Acid by H2O2 in the Presence of a TAPO‐5 Catalyst,2003,,,"['containing aluminophosphate molecular sieve', 'good heterogeneous catalyst', 'cyclohexanediol intermediate plays']"
59,10.1002/anie.200290028,"Preferential Location of Ge Atoms in Polymorph C of Beta Zeolite (ITQ‐17) and Their Structure‐Directing Effect: A Computational, XRD, and NMR Spectroscopic Study",2002,,,"['see picture ).', 'forcefield atomic simulations', 'ge containing itq']"
60,10.1002/anie.200353502,Nanoporous Metal‐Containing Nickel Phosphates: A Class of Shape‐Selective Catalyst,2004,,,"['offers promising catalytic properties', 'nanoporous nickel phosphate vsb', '1 exhibits zeolitic properties']"
61,10.1002/anie.200390304,A Zeolite Structure (ITQ‐13) with Three Sets of Medium‐Pore Crossing Channels Formed by9‐ and 10‐Rings,2003,,,"['see picture ).', 'ring pore apertures', 'introduce acid sites']"
62,10.1002/anie.200460085,Crystal Structure Determination of Zeolite Nu‐6(2) and Its Layered Precursor Nu‐6(1),2004,,,"['combining high resolution x', 'two independent sets', 'ray powder pattern']"
63,10.1002/anie.200460146,Preparation of Higher‐Order Zeolite Materials by Using Dextran Templating,2004,,,"['prepare elaborate porous frameworks', 'directed processes involving polysaccharide', 'crystallographically aligned silicalite nanocrystals']"
64,10.1002/anie.200460168,The Topotactic Conversion of a Novel Layered Silicate into a New Framework Zeolite,2004,,,"['density silicate sheets made', 'porelike interlayer space', 'novel zeolite cds']"
65,10.1002/anie.200461403,Microwave Fabrication of MFI Zeolite Crystals with a Fibrous Morphology and Their Applications,2005,,,"['enhanced catalytic properties', 'mfi zeolite ).', 'microwave irradiation result']"
66,10.1002/anie.200461911,SU‐16: A Three‐Dimensional Open‐Framework Borogermanate with a Novel Zeolite Topology,2005,,,"['new secondary building unit', 'ring channels may make', 'unusual elliptical 12']"
67,10.1002/anie.200461912,,,,,
68,10.1002/anie.200461913,,,,,
69,10.1002/anie.200461914,,,,,
70,10.1002/anie.200503011,Uniformly a‐Oriented MFI Zeolite Films by Secondary Growth,2006,,,"['uniformly oriented zeolite films', 'oriented films along', 'zigzag channels perpendicular']"
71,10.1002/anie.200602974,,,,,
72,10.1002/anie.200602975,,2006,,,
73,10.1002/anie.200602976,,,,,
74,10.1002/anie.200602977,,2007,,,
75,10.1002/anie.200602978,,,,,
76,10.1002/anie.200602979,,2007,,,
77,10.1002/anie.200602980,,,,,
78,10.1002/anie.200602981,,,,,
79,10.1002/anie.200602982,,,,,
80,10.1002/anie.200602983,,,,,
81,10.1002/anie.200602984,,,,,
82,10.1002/anie.200602985,,,,,
83,10.1002/anie.200602986,,2006,,,
84,10.1002/anie.200602987,,2006,,,
85,10.1002/anie.200602988,,,,,
86,10.1002/anie.200602989,,,,,
87,10.1002/anie.200602990,,,,,
88,10.1002/anie.200602991,,,,,
89,10.1002/anie.200602992,,,,,
90,10.1002/anie.200602993,,2006,,,
91,10.1002/anie.200602994,,,,,
92,10.1002/anie.200602995,,,,,
93,10.1002/anie.200602996,,2006,,,
94,10.1002/anie.200602997,,,,,
95,10.1002/anie.200602998,,,,,
96,10.1002/anie.200602999,,2006,,,
97,10.1002/anie.200603000,,,,,
98,10.1002/anie.200603001,,,,,
99,10.1002/anie.200603002,,,,,
100,10.1002/anie.200603003,,,,,
101,10.1002/anie.200603004,,,,,
102,10.1002/anie.200603005,,,,,
103,10.1002/anie.200603006,,,,,
104,10.1002/anie.200603007,,,,,
105,10.1002/anie.200603008,,,,,
106,10.1002/anie.200603009,,2006,,,
107,10.1002/anie.200603010,,,,,
108,10.1002/anie.200603011,,,,,
109,10.1002/anie.200603012,,,,,
110,10.1002/anie.200603013,,2006,,,
111,10.1002/anie.200603014,,,,,
112,10.1002/anie.200603015,,,,,
113,10.1002/anie.200603016,,2006,,,
114,10.1002/anie.200603017,,,,,
115,10.1002/anie.200603018,,,,,
116,10.1002/anie.200603019,,2007,,,
117,10.1002/anie.200603020,,,,,
118,10.1002/anie.200603021,,,,,
119,10.1002/anie.200603027,Synthesis and Characterization of the All‐Silica Pure Polymorph C and an Enriched Polymorph B Intergrowth of Zeolite Beta,2006,,,"['silica pure polymorph c', 'silicon atoms favors', 'cationic organic structure']"
120,10.1002/anie.200604513,Monitoring the Nucleation of Zeolites by Mass Spectrometry,2007,,,"['see picture ).', 'dynamic light scattering', 'crystals involves hydrolysis']"
121,10.1002/anie.200604921,In2Ge6O15(OH)2(H2dien): An Open‐Framework Indate Germanate with One‐Dimensional 12‐Ring Channels,2007,,,"['see picture ).', 'mild solvothermal conditions', 'microporous indate germanate']"
122,10.1002/anie.200701634,Zeolite SSZ‐53: An Extra‐Large‐Pore Zeolite with Interesting Catalytic Properties,2007,,,"['open channel system render', 'using ethylbenzene disproportionation', 'high activity together']"
123,10.1002/anie.200701676,Length‐Dependent Band‐Gap Shift of TiO32− Molecular Wires Embedded in Zeolite ETS‐10,2007,,,"['nanoscale electronic devices', 'confined semiconductor materials', 'quantum confinement region']"
124,10.1002/anie.200702239,Ionothermal Synthesis of Unusual Choline‐Templated Cobalt Aluminophosphates,2007,,,"['prepare cobalt aluminophosphate analogues', 'terminal co cl bond', 'cobalt atom forms']"
125,10.1002/anie.200704003,Ionothermal Synthesis of Oriented Zeolite AEL Films and Their Application as Corrosion‐Resistant Coatings,2008,,,"['toxic chromate conversion coating', '11 coating', 'zeolite coatings']"
126,10.1002/anie.200704222,A Multi‐Dimensional Microporous Silicate That Is Isomorphous to Zeolite MCM‐68,2008,,,"['significant site defects', 'see picture ).', '68 typically obtained']"
127,10.1002/anie.200801375,A Germanate Built from a 68126 Cavity Cotemplated by an (H2O)16 Cluster and 2‐Methylpiperazine,2008,,,
128,10.1002/anie.200802941,Indirect Observation of Structured Incipient Zeolite Nanoparticles in Clear Precursor Solutions,2008,,,"['see picture ).', 'diffraction pattern exist', 'clear precursor solutions']"
129,10.1002/anie.200803007,Detection of Structural Elements of Different Zeolites in Nucleating Solutions by Electrospray Ionization Mass Spectrometry,2008,,,"['silicate towards specific structures', 'containing zeolites zsm', 'characteristic structural elements']"
130,10.1002/anie.200803103,Nanoscale Reactor Engineering: Hydrothermal Synthesis of Uniform Zeolite Particles in Massively Parallel Reaction Chambers,2008,,,"['micro -, meso -,', 'massively parallel reaction chambers', 'hierarchically structured zeolite catalysts']"
131,10.1002/anie.200803578,Heteroatom‐Stabilized Chiral Framework of Aluminophosphate Molecular Sieves,2009,,,"['structure contains one', 'ring channels enclosed', 'new zeotype structure']"
132,10.1002/anie.200804167,Microcontainers with Fluorescent Anisotropic Zeolite L Cores and Isotropic Silica Shells,2009,,,"['loaded zeolite l crystals', 'fluorescence microscopy images ).', 'silica coating procedure']"
133,10.1002/anie.200900461,On‐Wafer Crystallization of Ultralow‐κ Pure Silica Zeolite Films,2009,,,"['prepare pure silica zeolite', 'previously used hydrothermal process', 'wafer crystallization process']"
134,10.1002/anie.200903001,Nucleotide‐Catalyzed Conversion of Racemic Zeolite‐Type Zincophosphate into Enantioenriched Crystals,2009,,,"['see picture ).', 'absolute chirality control', 'type material']"
135,10.1002/anie.200903601,In Situ UV Raman Spectroscopic Study on the Synthesis Mechanism of AlPO‐5,2009,,,"['situ uv raman spectroscopy', 'results reveal molecular', 'synthesis mechanism']"
136,10.1002/anie.200904876,Probing Photocatalytic Active Sites on a Single Titanosilicate Zeolite with a Redox‐Responsive Fluorescent Dye,2010,,,"['photocatalytic activity among crystals', 'situ fluorescence imaging', 'responsive fluorescent dye']"
137,10.1002/anie.200905214,Diversification of RTH‐Type Zeolite and Its Catalytic Application,2009,,,"['thus prepared al', 'remarkable catalytic performance', 'type zeolites exhibited']"
138,10.1002/anie.201000304,A Rational Approach to the Ionothermal Synthesis of an AlPO4 Molecular Sieve with an LTA‐Type Framework,2010,,,
139,10.1002/anie.201000320,Ionothermal Synthesis of an Aluminophosphate Molecular Sieve with 20‐Ring Pore Openings,2010,,,"['first aluminophosphate molecular sieve', 'synthesized ionothermally using', 'ring pore openings']"
140,10.1002/anie.201001506,The Synthesis of an Extra‐Large‐Pore Zeolite with Double Three‐Ring Building Units and a Low Framework Density,2010,,,"['18x12x12 ring pore system', 'great wide open', 'lowest framework density']"
141,10.1002/anie.201006500,A Gallogermanate Zeolite Constructed Exclusively by Three‐Ring Building Units,2011,,,
142,10.1002/anie.201101237,Evidence for F−/SiO− Anion Exchange in the Framework of As‐Synthesized All‐Silica Zeolites,2011,,,"['silica d4r units', 'see picture ).', 'fluoride ions play']"
143,10.1002/anie.201107725,Tailoring Silicalite‐1 Crystal Morphology with Molecular Modifiers,2012,,,"['zeolite crystal morphology', 'tuning zeolite properties', 'facile approach offers']"
144,10.1002/anie.201108753,A Pure Silica Chiral Polymorph with Helical Pores,2012,,,"['free pure sio2 composition', 'previously considered unfeasible', 'hydrothermal stability upon']"
145,10.1002/anie.201200101,Ionothermal Synthesis of Aluminophosphate Molecular Sieve Membranes through Substrate Surface Conversion,2012,,,"['lta structure types could', 'aluminophosphate molecular sieve membranes', 'directing agent ).']"
146,10.1002/anie.201300846,A Gallogermanate Zeolite with Eleven‐Membered‐Ring Channels,2013,,,
147,10.1002/anie.201301265,Uniform Si‐CHA Zeolite Layers Formed by a Selective Sonication‐Assisted Deposition Method,2013,,,"['broad size distribution', 'cha particles cosynthesized', 'cubic particles']"
148,10.1002/anie.201306527,Post‐Synthesis Treatment gives Highly Stable Siliceous Zeolites through the Isomorphous Substitution of Silicon for Germanium in Germanosilicates,2014,,,"['facile stabilization method thus', 'substitute isomorphously ge atoms', 'unstable ge atoms']"
149,10.1002/anie.201306744,Quasi All‐Silica Zeolite Obtained by Isomorphous Degermanation of an As‐Made Germanium‐Containing Precursor,2014,,,"['stable acid catalysts', 'almost completely degermanated', 'degermanated framework enabled']"
150,10.1002/anie.201309766,A Germanosilicate Structure with 11×11×12‐Ring Channels Solved by Electron Crystallography,2014,,,"['zeolite b polymorph c', 'dimensional rotation electron diffraction', 'first germanosilicate zeolite']"
151,10.1002/anie.201311324,A Uniformly Oriented MFI Membrane for Improved CO2 Separation,2014,,,"['preparing silica mfi membranes', 'resulting membrane straight channels', 'uniformly vertically aligned']"
152,10.1002/anie.201400600,The Assembly‐Disassembly‐Organization‐Reassembly Mechanism for 3D‐2D‐3D Transformation of Germanosilicate IWW Zeolite,2014,,,
153,10.1002/anie.201402495,An Aluminophosphate Molecular Sieve with 36 Crystallographically Distinct Tetrahedral Sites,2014,,,"['contain bridging hydroxy groups', 'rotation electron diffraction tomography', 'another new aluminophosphate material']"
154,10.1002/anie.201404076,"Synthesis of a Specified, Silica Molecular Sieve by Using Computationally Predicted Organic Structure‐Directing Agents",2014,,,"['recently developed computational method', 'create stw may lead', 'constructs chemically synthesizable osdas']"
155,10.1002/anie.201404608,"An Extra‐Large‐Pore Zeolite with Intersecting 18‐, 12‐, and 10‐Membered Ring Channels",2014,,,"['small aromatic organic cations', 'nanjing university du', 'despite much progress']"
156,10.1002/anie.201406344,Multipore Zeolites: Synthesis and Catalytic Applications,2015,,,"['allowing unique catalytic activities', 'different sizes would favor', 'different dimensions within']"
157,10.1002/anie.201411791,2D Zeolite Coatings: Langmuir–Schaefer Deposition of 3 nm Thick MFI Zeolite Nanosheets,2015,,,"['ethanol following acid treatment', 'preferentially oriented thin films', 'silicon wafers using langmuir']"
158,10.1002/anie.201412482,Fabrication of b‐Oriented MFI Zeolite Films under Neutral Conditions without the Use of Hydrogen Fluoride,2015,,,"['neutral synthesis route promising', 'assisted neutral synthesis route', 'successfully synthesize highly b']"
159,10.1002/anie.201501718,A Crystalline Mesoporous Germanate with 48‐Ring Channels for CO2 Separation,2015,,,
160,10.1002/anie.201503782,"Growth of High‐Quality, Thickness‐Reduced Zeolite Membranes towards N2/CH4 Separation Using High‐Aspect‐Ratio Seeds",2015,,,"['membranes showed n2 permeances', 'greatly improved zeolite membranes', 'thinner continuous sapo']"
161,10.1002/anie.201504416,A Family of Molecular Sieves Containing Framework‐Bound Organic Structure‐Directing Agents,2015,,,
162,10.1002/anie.201506183,In Situ Electrochemical Synthesis of Oriented and Defect‐Free AEL Molecular‐Sieve Films Using Ionic Liquids,2015,,,"['situ electrochemical ionothermal method', 'early works focus', 'controllable electric field']"
163,10.1002/anie.201506678,Synthesis of Silicate Zeolite Analogues Using Organic Sulfonium Compounds as Structure‐Directing Agents,2015,,,"['ray powder diffraction data', 'microporous crystalline silica zeolite', 'new zeolite structure depending']"
164,10.1002/anie.201506822,Direct Dual‐Template Synthesis of MWW Zeolite Monolayers,2015,,,"['structured external surface area', 'step synthetic route', 'resultant material consists']"
165,10.1002/anie.201510726,Targeted Synthesis of Two Super‐Complex Zeolites with Embedded Isoreticular Structures,2016,,,
166,10.1002/anie.201600146,"EU‐12: A Small‐Pore, High‐Silica Zeolite Containing Sinusoidal Eight‐Ring Channels",2016,,,
167,10.1002/anie.201610547,Fully Copper‐Exchanged High‐Silica LTA Zeolites as Unrivaled Hydrothermally Stable NH3‐SCR Catalysts,2017,,,"['vehicle simulated conditions even', 'one major technical hurdle', 'meet tighter co2 regulations']"
168,10.1002/anie.201700590,Expansion of the ADOR Strategy for the Synthesis of Zeolites: The Synthesis of IPC‐12 from Zeolite UOV,2017,,,"['haadf electron microscopy', 'first successful application', 'experiments using x']"
169,10.1002/anie.201707452,CIT‐9: A Fault‐Free Gmelinite Zeolite,2017,,,"['gme 12x8x8 pore architecture', 'specific organic structure', 'k +- exchanged']"
170,10.1002/anie.201712885,"A Zeolite Family Nonjointly Built from the 1,3‐Stellated Cubic Building Unit",2018,,,
171,10.1002/anie.201713308,Directing Aluminum Atoms into Energetically Favorable Tetrahedral Sites in a Zeolite Framework by Using Organic Structure‐Directing Agents,2018,,,"['finding thus provides evidence', 'computational calculations suggest', 'specific crystallographic sites']"
172,10.1002/anie.201801386,An Extra‐Large‐Pore Zeolite with 24×8×8‐Ring Channels Using a Structure‐Directing Agent Derived from Traditional Chinese Medicine,2018,,,"['235 known zeolite structures', '51 ), pure silicates', 'five zeolite types']"
173,10.1002/anie.201813533,Preferential Siting of Aluminum Heteroatoms in the Zeolite Catalyst Al‐SSZ‐70,2019,,,"['al atoms locate preferentially', 'relative occupancies quantified', 'pore interlayer channels']"
174,10.1002/anie.201814248,Template‐Free Synthesis of Highly b‐Oriented MFI‐Type Zeolite Thin Films by Seeded Secondary Growth,2019,,,"['secondary growth solutions', 'secondary growth solution', 'mfi zeolite films']"
175,10.1002/anie.201900106,Zeolite‐Type Metal Oxalate Frameworks,2019,,,"['highly desirable zeolite features', 'many metal oxalate salts', 'indium oxalate salts']"
176,10.1002/anie.201909336,Targeted Synthesis of a Zeolite with Pre‐established Framework Topology,2019,,,"['rationally couple computational predictions', 'although innumerable theoretical frameworks', 'targeted aluminosilicate zeolite structure']"
177,10.1002/anie.201912488,3D Electron Diffraction Unravels the New Zeolite ECNU‐23 from the “Pure” Powder Sample of ECNU‐21,2020,,,"['resolution tem images', 'predicted daughter structures', '3d ed investigation']"
178,10.1002/anie.201915232,An Extra‐Large‐Pore Pure Silica Zeolite with 16×8×8‐Membered Ring Pore Channels Synthesized using an Aromatic Organic Directing Agent,2020,,,"['pore pure silica zeolites', 'large pore silica zeolites', 'pore silica zeolite']"
179,10.1002/anie.202005715,Organic‐Free Synthesis of Zeolite Y with High Si/Al Ratios: Combined Strategy of In Situ Hydroxyl Radical Assistance and Post‐Synthesis Treatment,2020,,,"['hydroxyl radicals preferentially enhanced', 'hydroxyl radical assisted route', 'fluidized catalytic cracking processes']"
180,10.1002/aoc.1015,Synthesis of Fe‐loaded MFI zeolite using silatrane as precursor and its CO activity,2006,,,
